model_variant,score,stride,offset,n_obs,positives,prevalence,f1,balanced_accuracy,roc_auc,pr_auc,brier_score,log_loss,prediction_positive_rate
corrected_asset_conditioned,family_prior_residual,60,54,340,14,0.041176470588235294,0.08648648648648649,0.5357142857142857,0.4923312883435583,0.05583816633279546,,,0.5029411764705882
corrected_asset_conditioned,family_prior_residual,60,55,340,42,0.12352941176470589,0.20952380952380953,0.5169383189517418,0.4777085330776606,0.13578035014417086,,,0.49411764705882355
corrected_asset_conditioned,family_prior_residual,60,56,340,36,0.10588235294117647,0.17258883248730963,0.4992690058479532,0.43082967836257313,0.09384607698044731,,,0.47352941176470587
corrected_asset_conditioned,family_prior_residual,60,57,340,37,0.10882352941176471,0.20512820512820512,0.5425474979930426,0.5064222638480065,0.10942205271158026,,,0.4647058823529412
corrected_asset_conditioned,family_prior_residual,60,58,340,49,0.14411764705882352,0.29411764705882354,0.5913458166771863,0.5562802440563854,0.1828216963256696,,,0.45588235294117646
corrected_asset_conditioned,family_prior_residual,60,59,340,52,0.15294117647058825,0.3033175355450237,0.5872061965811965,0.5897102029914529,0.20072888995577398,,,0.4676470588235294
no_explicit_asset_id,transformer,10,0,2155,342,0.15870069605568446,0.4302059496567506,0.6799834205849243,0.7062734055215258,0.34817184006154905,0.12482857748994021,0.40867317235429457,0.2468677494199536
no_explicit_asset_id,transformer,10,1,2155,354,0.1642691415313225,0.4232922732362822,0.6697809126756322,0.69564460422176,0.3379103536840838,0.1292119810842311,0.42087010523481666,0.25011600928074246
no_explicit_asset_id,transformer,10,2,2155,337,0.15638051044083526,0.42709529276693453,0.6802548207342989,0.721502417304045,0.3440708256124048,0.12250348775737921,0.4009344039701662,0.24779582366589328
no_explicit_asset_id,transformer,10,3,2155,352,0.16334106728538283,0.4321266968325792,0.6767422036504815,0.7112215121262542,0.3518207395136612,0.1261383713974077,0.4123724805867702,0.2468677494199536
no_explicit_asset_id,transformer,10,4,2155,343,0.1591647331786543,0.423963133640553,0.6741266516067165,0.7045522560963836,0.3307236019346019,0.1254383771463366,0.4103216115176456,0.24361948955916474
no_explicit_asset_id,transformer,10,5,2155,356,0.16519721577726218,0.4641638225255973,0.6978564870621007,0.7293088857105383,0.36519033648131133,0.12274891134475352,0.4019990559541618,0.24269141531322505
no_explicit_asset_id,transformer,10,6,2155,358,0.16612529002320187,0.47392290249433106,0.7042533645461244,0.7340749480045887,0.3834890379817868,0.121726732245384,0.39990502071958034,0.2431554524361949
no_explicit_asset_id,transformer,10,7,2143,368,0.17172188520765283,0.4701912260967379,0.6960800673606858,0.7305197489283527,0.39893901147659216,0.12491284742905415,0.4087523784740597,0.243117125524965
no_explicit_asset_id,transformer,10,8,2143,325,0.15165655622958468,0.42739079102715466,0.6846771600236947,0.7181374291275282,0.35287019422703014,0.11977624811752385,0.3938903154895283,0.2435837610825945
no_explicit_asset_id,transformer,10,9,2143,336,0.1567895473635091,0.42672919109026963,0.6781382586238701,0.7078013413445068,0.3403922382102048,0.12347762636919332,0.4046803291485529,0.24125058329444704
no_explicit_asset_id,transformer,60,0,419,74,0.1766109785202864,0.4171779141104294,0.6500195848021935,0.6949275362318841,0.3678408463811024,0.13562791841453506,0.4369769888917793,0.21241050119331742
no_explicit_asset_id,transformer,60,1,419,74,0.1766109785202864,0.44171779141104295,0.6664316490403447,0.6900900900900901,0.39922620093314565,0.1315420934050746,0.43059816704653686,0.21241050119331742
no_explicit_asset_id,transformer,60,2,419,72,0.1718377088305489,0.5454545454545454,0.743335734870317,0.781280019212296,0.4680039151899468,0.1132848879126638,0.3761530739836523,0.22195704057279236
no_explicit_asset_id,transformer,60,3,419,85,0.20286396181384247,0.4888888888888889,0.6824762240225432,0.7021486438886932,0.4342403145308983,0.14064994629985028,0.45898240758069947,0.22673031026252982
no_explicit_asset_id,transformer,60,4,419,76,0.18138424821002386,0.44047619047619047,0.6632461255178763,0.6936282031609637,0.36900125191784633,0.13504133418180292,0.44104910759560617,0.21957040572792363
