split,group_type,group,n_assets,n_obs,positives,prevalence,contiguous_label_episodes,greedy_nonoverlap_positive_endpoints,mean_episode_windows,median_stressed_future_return,median_stressed_future_drawdown,median_stressed_volatility_ratio,volatility_only_positive_rate
validation,asset_ticker,IFRA,1,297,28,0.09427609427609428,8,6,3.5,-0.001337977644161159,-0.03467284732724146,1.9121919701825185,0.5
validation,asset_ticker,INDA,1,297,21,0.0707070707070707,5,4,4.2,0.002682708845335391,-0.03124997061497492,2.3533449342493933,0.9523809523809523
validation,asset_ticker,IWD,1,297,8,0.026936026936026935,5,4,1.6,-0.029809227732417676,-0.035606549307339086,2.0130122535425654,0.75
validation,asset_ticker,IWF,1,297,21,0.0707070707070707,6,5,3.5,-0.06386754040653408,-0.0704558656783717,1.9132794527984651,0.19047619047619047
validation,asset_ticker,IWM,1,297,49,0.16498316498316498,12,8,4.083333333333333,-0.05399783594014895,-0.056786476585527046,1.5579257707712024,0.30612244897959184
validation,asset_ticker,IYR,1,297,20,0.06734006734006734,4,3,5.0,-0.05779683894668486,-0.06522585528656266,1.79855472204724,0.35
validation,asset_ticker,JNK,1,297,8,0.026936026936026935,1,1,8.0,-0.008171238926774016,-0.016113207639456506,2.257600760358976,1.0
validation,asset_ticker,LINK-USD,1,438,230,0.5251141552511416,34,33,6.764705882352941,-0.08438328440721998,-0.12498726215529371,1.0479398267274407,0.013043478260869565
validation,asset_ticker,LQD,1,297,1,0.003367003367003367,1,1,1.0,-0.01688699196861565,-0.01688699196861565,2.0038124791152234,1.0
validation,asset_ticker,LTC-USD,1,438,173,0.3949771689497717,41,29,4.219512195121951,-0.06901310194230548,-0.10265081707771473,1.1073475084831348,0.07514450867052024
validation,asset_ticker,MTUM,1,297,23,0.07744107744107744,8,6,2.875,-0.06296447486863865,-0.07079841026412148,1.9931101902588961,0.17391304347826086
validation,asset_ticker,MUB,1,297,13,0.04377104377104377,4,4,3.25,0.0030794364043009725,-0.0077928104360561745,2.246613055800147,1.0
validation,asset_ticker,PALL,1,297,91,0.3063973063973064,18,16,5.055555555555555,-0.07033893930196089,-0.08604772985548981,0.8803525446880363,0.0
validation,asset_ticker,PPLT,1,297,34,0.11447811447811448,11,9,3.090909090909091,-0.06327846546042526,-0.06940381233952597,1.0051058869056753,0.0
validation,asset_ticker,QQQ,1,297,23,0.07744107744107744,7,6,3.2857142857142856,-0.0643669509060305,-0.07200413436861641,1.7693549158077457,0.13043478260869565
validation,asset_ticker,QUAL,1,297,12,0.04040404040404041,4,4,3.0,-0.03301877949503196,-0.03814249959022148,2.286750972296355,0.8333333333333334
validation,asset_ticker,SHY,1,297,10,0.03367003367003367,1,1,10.0,0.008996847202843217,0.00048802092357491667,2.356489621827583,1.0
validation,asset_ticker,SIZE,1,297,15,0.050505050505050504,4,4,3.75,-0.034529359598578724,-0.050401317380439625,2.059361049944342,0.7333333333333333
validation,asset_ticker,SLV,1,297,46,0.15488215488215487,14,10,3.2857142857142856,-0.06594669333746733,-0.07255114697494303,1.039923435297578,0.0
validation,asset_ticker,SOL-USD,1,438,207,0.4726027397260274,34,28,6.088235294117647,-0.09244327041989109,-0.1249796445403526,0.9789440331757878,0.004830917874396135
validation,asset_ticker,SPY,1,297,23,0.07744107744107744,6,5,3.8333333333333335,-0.029261270807585338,-0.03389035731736856,2.337694666115049,0.8260869565217391
validation,asset_ticker,TIP,1,297,0,0.0,0,0,,,,,
validation,asset_ticker,TLT,1,297,5,0.016835016835016835,2,2,2.5,-0.0607338824546213,-0.0607338824546213,1.0523966136020988,0.0
validation,asset_ticker,UNG,1,297,133,0.4478114478114478,26,21,5.115384615384615,-0.08722958874075992,-0.11959462398329779,0.9330182296144073,0.03007518796992481
validation,asset_ticker,UNI-USD,1,438,160,0.365296803652968,28,23,5.714285714285714,-0.0715994768788617,-0.09478882265954114,1.2973884134737537,0.08125
validation,asset_ticker,USMV,1,297,3,0.010101010101010102,2,2,1.5,-0.05190687535053318,-0.05233482009206403,1.3633499520250554,0.3333333333333333
validation,asset_ticker,USO,1,297,41,0.13804713804713806,20,11,2.05,-0.05715835183588047,-0.06677925565974785,1.2113444229935288,0.07317073170731707
validation,asset_ticker,UUP,1,297,11,0.037037037037037035,2,2,5.5,0.01809486882129807,-0.0044489584667927184,2.679360278886866,1.0
validation,asset_ticker,VEA,1,297,2,0.006734006734006734,1,1,2.0,-0.05997606066389949,-0.06076732399006063,2.090857515386795,0.0
validation,asset_ticker,VGK,1,297,1,0.003367003367003367,1,1,1.0,-0.05188002737012776,-0.05188002737012776,1.5058344170380802,0.0
validation,asset_ticker,VLUE,1,297,18,0.06060606060606061,6,5,3.0,-0.054903944104235436,-0.06563563220907614,1.8681797122204553,0.1111111111111111
