split,asset_id,endpoints,positives,negatives,prevalence,raw_comparable_pairs,outcome_disjoint_pairs,selected_pairs,unique_endpoints,minimum_origin_distance,median_origin_distance,status,asset_ticker,family,registry_sha256
train,15,3439,400,3039,0.11631288165164291,1215600,1211772,4096,2654,10.0,1067.5,selected,EWA,Equities,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,16,3439,321,3118,0.09334108752544344,1000878,997506,4096,2614,10.0,1066.5,selected,EWC,Equities,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,17,3439,278,3161,0.08083745274789184,878758,875622,4096,2598,10.0,1025.5,selected,EWJ,Equities,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,18,3439,333,3106,0.09683047397499273,1034298,1030898,4096,2630,10.0,1017.0,selected,EWU,Equities,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,19,3439,777,2662,0.22593777260831638,2068374,2061388,4096,2863,10.0,1002.0,selected,EWZ,Equities,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,20,3439,95,3344,0.027624309392265192,317680,316568,4096,2468,10.0,1131.5,selected,FXA,FX,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,21,3439,95,3344,0.027624309392265192,317680,316538,4096,2476,10.0,961.0,selected,FXB,FX,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,22,3439,50,3389,0.014539110206455364,169450,168868,4096,2441,11.0,1037.0,selected,FXC,FX,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,23,3439,63,3376,0.01831927886013376,212688,211998,4096,2455,10.0,919.5,selected,FXE,FX,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,24,3439,550,2889,0.159930212271009,1588950,1583522,4096,2714,10.0,1083.5,selected,FXI,Equities,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,25,3439,168,3271,0.04885141029369003,549528,547658,4096,2490,10.0,1010.5,selected,FXY,FX,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,26,3439,271,3168,0.07880197731898808,858528,855544,4096,2594,11.0,1028.0,selected,GLD,Commodities,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,27,3439,246,3193,0.0715324222157604,785478,782820,4096,2546,10.0,1012.5,selected,HYG,Bonds,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,28,3439,85,3354,0.02471648735097412,285090,284156,4096,2473,10.0,979.0,selected,IEF,Bonds,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,29,1362,135,1227,0.09911894273127753,165645,164287,4096,1322,10.0,389.0,selected,IFRA,Real assets,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,30,2913,297,2616,0.101956745623069,776952,773955,4096,2351,10.0,845.5,selected,INDA,Equities,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,31,3439,311,3128,0.09043326548415237,972808,969630,4096,2601,10.0,976.5,selected,IWD,Equities,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,32,3439,355,3084,0.1032276824658331,1094820,1091352,4096,2591,10.0,1056.0,selected,IWF,Equities,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,33,3439,374,3065,0.10875254434428613,1146310,1142456,4096,2646,10.0,1065.0,selected,IWM,Equities,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,34,3439,359,3080,0.10439081128234952,1105720,1102078,4096,2607,10.0,1056.5,selected,IYR,Real assets,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,35,3439,271,3168,0.07880197731898808,858528,855827,4096,2598,10.0,980.0,selected,JNK,Bonds,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,36,2148,1114,1034,0.5186219739292365,1151876,1144901,4096,2112,10.0,628.0,selected,LINK-USD,Crypto,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,37,3439,84,3355,0.024425705146845014,281820,280918,4096,2486,10.0,979.0,selected,LQD,Bonds,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,38,3297,1505,1792,0.4564755838641189,2696960,2686615,4096,3002,10.0,980.0,selected,LTC-USD,Crypto,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,39,2612,268,2344,0.10260336906584992,628192,625700,4096,2218,10.0,738.0,selected,MTUM,Equities,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
